Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross margin percentage,Gross income,Rating
150-75-4049,C,Lviv,Normal,Male,Food & Beverages,13.53,3,2.0295,42.619499999999995,2023-01-05,01:00,Ewallet,40.589999999999996,4.761905,2.0295,7.1
473-63-8912,C,Odesa,Normal,Female,Clothing,51.75,2,5.175000000000001,108.675,2023-01-05,02:00,Cash,103.5,4.761905,5.175000000000001,4.3
793-93-6357,B,Lviv,Normal,Female,Beauty,77.34,2,7.734000000000001,162.41400000000002,2023-01-05,03:00,Cash,154.68,4.761905,7.734000000000001,6.9
458-88-5013,C,Odesa,Normal,Male,Sports,82.92,1,4.146,87.066,2023-01-05,04:00,Cash,82.92,4.761905,4.146,5.9
531-68-8157,A,Lviv,Member,Female,Electronics,92.79,4,18.558000000000003,389.718,2023-01-05,05:00,Credit card,371.16,4.761905,18.558000000000003,9.4
123-99-3706,C,Odesa,Member,Female,Electronics,97.2,1,4.86,102.06,2023-01-05,06:00,Cash,97.2,4.761905,4.86,9.0
744-15-6245,C,Odesa,Member,Female,Home & Lifestyle,72.59,4,14.518,304.87800000000004,2023-01-05,07:00,Credit card,290.36,4.761905,14.518,9.8
585-55-4723,B,Lviv,Normal,Male,Food & Beverages,51.27,10,25.635000000000005,538.335,2023-01-05,08:00,Cash,512.7,4.761905,25.635000000000005,6.1
244-83-9360,B,Lviv,Normal,Female,Beauty,34.9,10,17.45,366.45,2023-01-05,09:00,Ewallet,349.0,4.761905,17.45,8.4
523-73-7533,B,Kyiv,Normal,Male,Home & Lifestyle,18.38,3,2.757,57.897,2023-01-05,10:00,Ewallet,55.14,4.761905,2.757,8.9
584-72-2410,C,Kyiv,Normal,Male,Electronics,47.01,4,9.402,197.44199999999998,2023-01-05,11:00,Cash,188.04,4.761905,9.402,9.6
836-27-8453,C,Kyiv,Normal,Male,Sports,49.82,8,19.928,418.488,2023-01-05,12:00,Credit card,398.56,4.761905,19.928,6.1
860-12-8321,C,Lviv,Member,Female,Clothing,93.51,7,32.728500000000004,687.2985000000001,2023-01-05,13:00,Ewallet,654.57,4.761905,32.728500000000004,5.5
278-18-8757,A,Kyiv,Member,Female,Beauty,45.1,3,6.765000000000001,142.065,2023-01-05,14:00,Ewallet,135.3,4.761905,6.765000000000001,7.9
173-29-5728,A,Odesa,Normal,Female,Clothing,31.01,6,9.303,195.363,2023-01-05,15:00,Credit card,186.06,4.761905,9.303,5.3
241-62-4046,A,Lviv,Normal,Male,Sports,87.21,4,17.442,366.282,2023-01-05,16:00,Ewallet,348.84,4.761905,17.442,5.7
244-87-8838,A,Kyiv,Member,Female,Sports,42.9,8,17.16,360.36,2023-01-05,17:00,Cash,343.2,4.761905,17.16,4.7
815-88-8052,C,Lviv,Normal,Female,Sports,55.31,1,2.7655000000000003,58.075500000000005,2023-01-05,18:00,Ewallet,55.31,4.761905,2.7655000000000003,6.8
131-61-9759,A,Odesa,Normal,Male,Clothing,30.93,1,1.5465,32.4765,2023-01-05,19:00,Ewallet,30.93,4.761905,1.5465,7.4
741-96-3762,A,Odesa,Member,Male,Sports,84.13,3,12.6195,265.0095,2023-01-05,20:00,Cash,252.39,4.761905,12.6195,5.3
395-68-3604,C,Lviv,Normal,Male,Sports,84.41,4,16.882,354.522,2023-01-05,21:00,Ewallet,337.64,4.761905,16.882,8.0
149-24-2386,C,Odesa,Normal,Male,Clothing,18.71,8,7.484000000000001,157.16400000000002,2023-01-05,22:00,Cash,149.68,4.761905,7.484000000000001,9.0
752-98-7612,C,Kyiv,Member,Female,Electronics,10.58,2,1.058,22.218,2023-01-05,23:00,Ewallet,21.16,4.761905,1.058,8.1
915-27-4567,A,Lviv,Normal,Male,Sports,45.65,4,9.13,191.73,2023-01-06,00:00,Cash,182.6,4.761905,9.13,5.1
913-68-3540,C,Lviv,Normal,Male,Home & Lifestyle,84.15,3,12.622500000000002,265.0725,2023-01-06,01:00,Ewallet,252.45000000000002,4.761905,12.622500000000002,4.6
352-83-9254,A,Odesa,Normal,Male,Electronics,46.96,10,23.480000000000004,493.08000000000004,2023-01-06,02:00,Credit card,469.6,4.761905,23.480000000000004,4.9
129-45-8705,C,Kyiv,Normal,Male,Beauty,53.45,10,26.725,561.225,2023-01-06,03:00,Cash,534.5,4.761905,26.725,8.7
587-25-9076,A,Lviv,Normal,Female,Food & Beverages,23.2,5,5.800000000000001,121.8,2023-01-06,04:00,Cash,116.0,4.761905,5.800000000000001,8.0
588-29-7470,C,Kyiv,Member,Female,Beauty,16.59,6,4.977,104.517,2023-01-06,05:00,Ewallet,99.53999999999999,4.761905,4.977,5.3
950-13-1264,C,Lviv,Member,Male,Sports,16.72,9,7.524,158.004,2023-01-06,06:00,Ewallet,150.48,4.761905,7.524,5.7
739-81-6266,B,Kyiv,Normal,Female,Clothing,76.09,1,3.8045000000000004,79.89450000000001,2023-01-06,07:00,Ewallet,76.09,4.761905,3.8045000000000004,5.4
606-65-2518,C,Lviv,Member,Female,Beauty,70.11,9,31.549500000000002,662.5395,2023-01-06,08:00,Credit card,630.99,4.761905,31.549500000000002,6.5
368-99-6882,A,Kyiv,Member,Male,Food & Beverages,80.91,3,12.1365,254.8665,2023-01-06,09:00,Cash,242.73,4.761905,12.1365,7.8
704-36-7591,A,Lviv,Member,Female,Home & Lifestyle,36.49,2,3.6490000000000005,76.629,2023-01-06,10:00,Cash,72.98,4.761905,3.6490000000000005,5.3
303-40-8393,B,Lviv,Normal,Female,Beauty,30.12,1,1.5060000000000002,31.626,2023-01-06,11:00,Ewallet,30.12,4.761905,1.5060000000000002,7.3
529-46-7675,B,Kyiv,Member,Female,Electronics,46.05,3,6.907499999999999,145.05749999999998,2023-01-06,12:00,Credit card,138.14999999999998,4.761905,6.907499999999999,5.1
300-19-8900,C,Lviv,Member,Female,Electronics,63.04,8,25.216,529.536,2023-01-06,13:00,Credit card,504.32,4.761905,25.216,6.6
223-33-3351,C,Lviv,Normal,Female,Electronics,17.29,5,4.3225,90.7725,2023-01-06,14:00,Ewallet,86.44999999999999,4.761905,4.3225,4.7
300-47-8613,C,Odesa,Member,Male,Sports,57.07,10,28.535000000000004,599.235,2023-01-06,15:00,Cash,570.7,4.761905,28.535000000000004,6.7
205-19-3833,C,Kyiv,Member,Female,Home & Lifestyle,43.88,5,10.97,230.37,2023-01-06,16:00,Cash,219.4,4.761905,10.97,8.1
716-33-5410,A,Lviv,Member,Male,Food & Beverages,10.71,2,1.0710000000000002,22.491000000000003,2023-01-06,17:00,Credit card,21.42,4.761905,1.0710000000000002,7.5
779-24-5348,A,Kyiv,Normal,Male,Clothing,32.5,10,16.25,341.25,2023-01-06,18:00,Credit card,325.0,4.761905,16.25,9.1
968-94-1671,B,Lviv,Member,Female,Electronics,67.51,4,13.502000000000002,283.54200000000003,2023-01-06,19:00,Cash,270.04,4.761905,13.502000000000002,9.0
891-31-4208,C,Kyiv,Member,Female,Sports,56.78,4,11.356000000000002,238.476,2023-01-06,20:00,Credit card,227.12,4.761905,11.356000000000002,6.7
585-45-5434,C,Lviv,Normal,Female,Food & Beverages,79.91,7,27.968500000000002,587.3385,2023-01-06,21:00,Ewallet,559.37,4.761905,27.968500000000002,7.5
626-47-1108,A,Odesa,Normal,Female,Home & Lifestyle,16.16,9,7.272,152.712,2023-01-06,22:00,Ewallet,145.44,4.761905,7.272,5.1
564-16-9849,A,Lviv,Member,Male,Food & Beverages,64.37,2,6.437000000000001,135.17700000000002,2023-01-06,23:00,Credit card,128.74,4.761905,6.437000000000001,7.1
364-71-4697,B,Kyiv,Member,Female,Sports,60.53,6,18.159000000000002,381.339,2023-01-07,00:00,Cash,363.18,4.761905,18.159000000000002,6.2
102-18-3608,A,Kyiv,Member,Female,Electronics,53.89,4,10.778,226.338,2023-01-07,01:00,Credit card,215.56,4.761905,10.778,5.4
390-27-5219,B,Lviv,Member,Female,Sports,58.25,3,8.7375,183.4875,2023-01-07,02:00,Credit card,174.75,4.761905,8.7375,6.2
704-65-8460,C,Odesa,Normal,Male,Home & Lifestyle,56.39,7,19.736500000000003,414.4665,2023-01-07,03:00,Ewallet,394.73,4.761905,19.736500000000003,4.2
173-29-7408,B,Kyiv,Normal,Male,Clothing,73.1,10,36.550000000000004,767.55,2023-01-07,04:00,Credit card,731.0,4.761905,36.550000000000004,5.8
116-57-5367,B,Odesa,Member,Female,Electronics,50.68,4,10.136000000000001,212.856,2023-01-07,05:00,Credit card,202.72,4.761905,10.136000000000001,6.3
109-55-2261,C,Lviv,Normal,Male,Food & Beverages,16.2,6,4.859999999999999,102.05999999999999,2023-01-07,06:00,Ewallet,97.19999999999999,4.761905,4.859999999999999,9.7
911-72-4037,C,Lviv,Normal,Female,Sports,97.1,3,14.564999999999998,305.86499999999995,2023-01-07,07:00,Credit card,291.29999999999995,4.761905,14.564999999999998,5.8
305-34-3748,C,Kyiv,Member,Male,Electronics,29.61,8,11.844000000000001,248.724,2023-01-07,08:00,Cash,236.88,4.761905,11.844000000000001,6.1
558-21-5443,C,Kyiv,Normal,Female,Beauty,46.13,7,16.145500000000002,339.05550000000005,2023-01-07,09:00,Ewallet,322.91,4.761905,16.145500000000002,5.0
248-41-2249,C,Odesa,Normal,Male,Home & Lifestyle,32.05,3,4.8075,100.9575,2023-01-07,10:00,Credit card,96.14999999999999,4.761905,4.8075,9.5
158-21-8254,C,Kyiv,Normal,Male,Clothing,51.1,8,20.44,429.24,2023-01-07,11:00,Credit card,408.8,4.761905,20.44,6.1
195-72-7646,B,Lviv,Member,Male,Food & Beverages,11.61,10,5.805,121.905,2023-01-07,12:00,Credit card,116.1,4.761905,5.805,9.4
428-22-9026,B,Kyiv,Member,Male,Electronics,43.34,10,21.67,455.07000000000005,2023-01-07,13:00,Cash,433.40000000000003,4.761905,21.67,6.8
353-36-8913,C,Kyiv,Normal,Male,Beauty,84.59,1,4.229500000000001,88.8195,2023-01-07,14:00,Credit card,84.59,4.761905,4.229500000000001,6.0
418-10-9567,C,Odesa,Member,Female,Clothing,53.44,10,26.72,561.12,2023-01-07,15:00,Credit card,534.4,4.761905,26.72,8.2
651-68-2883,B,Odesa,Normal,Male,Home & Lifestyle,96.52,8,38.608000000000004,810.768,2023-01-07,16:00,Cash,772.16,4.761905,38.608000000000004,8.3
599-61-1582,A,Kyiv,Normal,Female,Electronics,16.53,2,1.6530000000000002,34.713,2023-01-07,17:00,Ewallet,33.06,4.761905,1.6530000000000002,7.4
494-28-1355,C,Kyiv,Normal,Male,Clothing,91.38,3,13.707,287.847,2023-01-07,18:00,Ewallet,274.14,4.761905,13.707,9.4
633-93-9204,C,Kyiv,Normal,Male,Clothing,42.42,5,10.605000000000002,222.705,2023-01-07,19:00,Cash,212.10000000000002,4.761905,10.605000000000002,7.3
993-93-4901,B,Lviv,Member,Female,Food & Beverages,96.99,8,38.796,814.716,2023-01-07,20:00,Cash,775.92,4.761905,38.796,9.9
430-15-6450,C,Kyiv,Normal,Female,Sports,69.62,8,27.848000000000003,584.808,2023-01-07,21:00,Cash,556.96,4.761905,27.848000000000003,5.1
904-30-9362,B,Odesa,Member,Male,Electronics,45.17,6,13.551,284.57099999999997,2023-01-07,22:00,Ewallet,271.02,4.761905,13.551,5.8
665-39-2546,C,Odesa,Member,Male,Clothing,31.92,10,15.960000000000003,335.16,2023-01-07,23:00,Cash,319.20000000000005,4.761905,15.960000000000003,7.9
719-29-2980,B,Lviv,Normal,Male,Electronics,21.03,5,5.2575,110.4075,2023-01-08,00:00,Cash,105.15,4.761905,5.2575,5.8
903-95-5338,C,Kyiv,Normal,Male,Sports,93.29,10,46.64500000000001,979.5450000000001,2023-01-08,01:00,Cash,932.9000000000001,4.761905,46.64500000000001,6.7
619-98-9235,A,Odesa,Member,Female,Food & Beverages,10.93,9,4.918500000000001,103.2885,2023-01-08,02:00,Credit card,98.37,4.761905,4.918500000000001,8.7
398-24-3515,C,Kyiv,Member,Male,Electronics,47.02,9,21.159000000000002,444.339,2023-01-08,03:00,Credit card,423.18,4.761905,21.159000000000002,7.7
582-13-3861,C,Odesa,Member,Female,Home & Lifestyle,23.64,10,11.82,248.22,2023-01-08,04:00,Ewallet,236.4,4.761905,11.82,5.6
